session.code,group.id_in_subsession,player.id_in_group,LabID,time,message

5pftg6km,1,1,,25.05.2022 19:22:39,12
3d25yl5t,1,2,,25.05.2022 19:24:19,100
3d25yl5t,1,2,,25.05.2022 19:24:19,100
sfc13aat,1,3,,25.07.2022 12:04:34,22
sfc13aat,1,3,,25.07.2022 12:04:34,22
sfc13aat,1,3,,25.07.2022 12:04:37,100
sfc13aat,1,3,,25.07.2022 12:04:37,100
sfc13aat,1,3,,25.07.2022 12:04:41,200
sfc13aat,1,3,,25.07.2022 12:04:47,400
sfc13aat,1,1,,25.07.2022 12:04:51,2
sfc13aat,1,1,,25.07.2022 12:04:51,2
sfc13aat,1,1,,25.07.2022 12:04:55,22
sfc13aat,1,1,,25.07.2022 12:04:55,22
godfgwd6,1,2,,26.07.2022 16:55:44,22
godfgwd6,1,2,,26.07.2022 16:55:44,22
godfgwd6,1,1,,26.07.2022 16:55:49,56
godfgwd6,1,1,,26.07.2022 16:55:49,56
godfgwd6,1,2,,26.07.2022 16:55:53,88
godfgwd6,1,2,,26.07.2022 16:55:53,88
godfgwd6,1,1,,26.07.2022 16:55:56,98
godfgwd6,1,1,,26.07.2022 16:55:56,98
godfgwd6,1,2,,26.07.2022 16:56:02,0
godfgwd6,1,2,,26.07.2022 16:56:06,300
egfmq75i,1,1,,27.07.2022 11:43:27,2
egfmq75i,1,3,,27.07.2022 11:43:35,100
bv42ds50,1,1,,08.08.2022 15:16:38,34
bv42ds50,1,3,,08.08.2022 15:16:46,68
ainr3boz,1,1,,08.08.2022 15:19:44,46
ainr3boz,1,2,,08.08.2022 15:19:51,98
ainr3boz,1,4,,08.08.2022 15:20:09,32
s5qrrmi6,1,1,,24.08.2022 16:08:51,8
s5qrrmi6,1,2,,24.08.2022 16:09:01,2
s5qrrmi6,1,4,,24.08.2022 16:09:06,6
nsm1v0ox,1,1,,24.08.2022 16:15:38,2
nsm1v0ox,1,2,,24.08.2022 16:15:43,8
nsm1v0ox,1,4,,24.08.2022 16:15:46,4
q4jqpr1j,1,1,,15.09.2022 12:14:08,22
q4jqpr1j,1,2,,15.09.2022 12:14:16,48
q4jqpr1j,1,4,,15.09.2022 12:14:22,102
q4jqpr1j,1,1,,15.09.2022 12:14:28,400
q4jqpr1j,1,1,,15.09.2022 12:14:57,42
v6xcs2gg,1,2,,20.09.2022 15:05:40,800
v6xcs2gg,1,1,,20.09.2022 15:05:43,0
v6xcs2gg,1,4,,20.09.2022 15:06:09,200
v6xcs2gg,1,1,,20.09.2022 15:06:14,0
v6xcs2gg,1,2,,20.09.2022 15:06:19,700
